id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,50124,219,219,308,206,503.25,270.1875,1.0429561138153076,0.9910027980804443,0,0,528,524
1,109943,0,22,527,349,222.75,171.9375,1.033529281616211,0.9850183725357056,0,0,528,524
2,68038,0,373,527,149,387.75,401.1875,1.0250558853149414,0.9836153984069824,0,0,528,524
3,39870,0,0,527,132,519.75,122.8125,1.0087146759033203,0.9797690510749817,0,0,528,524
4,5228,463,334,64,91,470.25,401.1875,1.0048290491104126,0.9846706986427307,0,0,528,524
5,50311,220,46,307,379,222.75,335.6875,0.99831223487854,0.9632525444030762,0,0,528,524
6,1118,296,239,49,29,305.25,253.8125,0.9930035471916199,0.9910953044891357,0,0,528,524
7,110209,0,23,527,497,123.75,73.6875,0.9917625188827515,0.9677876234054565,0,0,528,524
8,4284,229,340,65,81,288.75,401.1875,0.9913862943649292,0.978733241558075,0,0,528,524
9,1169,300,46,29,55,321.75,73.6875,0.9882486462593079,0.9779474139213562,0,0,528,524
10,1992,359,228,65,40,371.25,253.8125,0.9873454570770264,0.9757305383682251,0,0,528,524
11,7802,263,238,85,140,272.25,302.9375,0.9832974672317505,0.9612004160881042,0,0,528,524
12,13890,343,227,115,152,437.25,352.0625,0.9832961559295654,0.9608299732208252,0,0,528,524
13,71,33,149,10,8,41.25,155.5625,0.9798542857170105,0.9577465057373047,0,0,528,524
14,1586,436,30,40,75,453.75,57.3125,0.9707825779914856,0.950901210308075,0,0,528,524
15,2148,238,77,73,49,305.25,106.4375,0.9691981673240662,0.9683631658554077,0,0,528,524
16,2358,433,223,94,39,453.75,237.4375,0.9661930799484253,0.9719548225402832,0,0,528,524
17,677,407,243,33,23,437.25,253.8125,0.9654762744903564,0.9824047088623047,0,0,528,524
18,1634,304,382,144,12,420.75,384.8125,0.9629224538803101,0.9781950116157532,0,0,528,524
19,394,0,352,24,18,8.25,368.4375,0.955427885055542,0.9726368188858032,0,0,528,524
20,186,40,323,16,15,41.25,335.6875,0.9430915713310242,0.9581151604652405,0,0,528,524
21,31913,0,22,193,222,74.25,171.9375,0.9380266666412354,0.9516074657440186,0,0,528,524
22,2817,300,30,176,75,321.75,57.3125,0.9363365173339844,0.9637251496315002,0,0,528,524
23,3110,288,395,185,24,321.75,401.1875,0.9348090291023254,0.9507575631141663,0,0,528,524
24,82,516,266,11,7,519.75,270.1875,0.9346534609794617,0.9878048896789551,0,0,528,524
25,329,253,217,26,14,272.25,221.0625,0.921818196773529,0.9588235020637512,0,0,528,524
26,26,9,266,4,6,8.25,270.1875,0.9076493978500366,0.9615384340286255,0,0,528,524
27,127,106,279,16,9,107.25,286.5625,0.9064154624938965,0.9541984796524048,0,0,528,524
28,139,240,283,21,13,255.75,286.5625,0.8994077444076538,0.9510489702224731,0,0,528,524
29,68,186,262,8,9,189.75,270.1875,0.8835690021514893,1.0,0,0,528,524
